4,,,,,,,,,,,,,,,
30,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,4,6,1,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,3,6,1,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1
10,,,,,,,,,,,,,,,
30,4,6,100,0,0,0,1,6,10,0,0,0,0,0,0
60,0,0,0,6,6,10,0,0,0,2,6,10,0,0,0
70,0,0,0,0,0,0,3,6,10,2,6,10,0,0,0
95,0,0,0,0,0,0,0,0,0,4,6,10,0,0,0
100,0,0,0,0,0,0,0,0,0,2,6,10,3,6,1
16,,,,,,,,,,,,,,,
20,0,0,0,4,6,100,0,0,0,1,6,100,0,0,0
35,0,0,0,0,0,0,1,6,100,1,6,100,0,0,0
75,0,0,0,0,0,0,0,0,0,2,6,100,1,6,10
100,0,0,0,0,0,0,0,0,0,2,6,100,1,6,10
0,,,,,,,,,,,,,,,
15,0,0,0,0,0,0,2,6,1000,8,6,100,0,0,0
55,0,0,0,0,0,0,0,0,0,1,6,1000,1,6,100
100,0,0,0,0,0,0,0,0,0,1,6,1000,2,6,100
