coins,0,0,0,0,0,0,4,6,1000,5,6,100
score,object_num_mult,object_dice,object_worth,object,magic_item_num,magic_item_dice,magic_item_table,,,,,
3,0,0,0,z,0,0,z,,,,,
6,2,4,250,art,0,0,z,,,,,
9,3,6,500,art,0,0,z,,,,,
12,3,6,500,gems,0,0,z,,,,,
15,3,6,1000,gems,0,0,z,,,,,
19,2,4,250,art,1,4,A,1,6,B,,
23,2,4,750,art,1,4,A,1,6,B,,
26,3,6,500,gems,1,4,A,1,6,B,,
29,3,6,1000,gems,1,4,A,1,6,B,,
35,2,4,250,art,1,6,C,,,,,
40,2,4,750,art,1,6,C,,,,,
45,3,6,500,gems,1,6,C,,,,,
50,3,6,1000,gems,1,6,C,,,,,
54,2,4,250,art,1,4,D,,,,,
58,3,6,750,art,1,4,D,,,,,
62,3,6,500,gems,1,4,D,,,,,
66,3,6,1000,gems,1,4,D,,,,,
68,2,4,250,art,1,0,E,,,,,
70,2,4,750,art,1,0,E,,,,,
72,3,6,500,gems,1,0,E,,,,,
74,3,6,1000,gems,1,0,E,,,,,
76,2,4,250,art,1,0,F,1,4,G,,
78,2,4,750,art,1,0,F,1,4,G,,
80,3,6,500,gems,1,0,F,1,4,G,,
82,3,6,1000,gems,1,0,F,1,4,G,,
85,2,4,250,art,1,4,H,,,,,
88,2,4,750,art,1,4,H,,,,,
90,3,6,500,gems,1,4,H,,,,,
92,3,6,1000,gems,1,4,H,,,,,
94,2,4,250,art,1,4,I,,,,,
96,2,4,750,art,1,4,I,,,,,
98,3,6,500,gems,1,4,I,,,,,
100,3,6,1000,gems,1,4,I,,,,,
